project,bug type,file,function,line,path length,report,result,category,issue,submit,count
pycrypto,RL,src/_counter.c,_CounterObject_next_value,154,18,report-2b6754.html,FP,noreturn,-,False positive,1
pycrypto,RL,src/_counter.c,_CounterObject_next_value,159,18,report-491f73.html,FP,noreturn,-,False positive,1
pycrypto,RL,src/_counter.c,CounterLE_new,421,7,report-f94406.html,TP,leak on error handling branch,-,Project archived,1
pycrypto,RL,src/_counter.c,CounterBE_new,447,7,report-9ff272.html,TP,leak on error handling branch,-,Project archived,1
pycrypto,UaR,src/_fastmath.c,dsaKey__sign,535,12,report-2cd25e.html,TP,use after decrement on captured,-,Project archived,1
pycrypto,UaR,src/_fastmath.c,rsaKey__encrypt,795,10,report-5d3d4e.html,TP,use after decrement on captured,-,Project archived,1
pycrypto,UaR,src/_fastmath.c,rsaKey__decrypt,831,12,report-f308a8.html,TP,use after decrement on captured,-,Project archived,1
pycrypto,UaR,src/_fastmath.c,rsaKey__blind,895,12,report-800873.html,TP,use after decrement on captured,-,Project archived,1
pycrypto,UaR,src/_fastmath.c,rsaKey__unblind,938,14,report-bdb342.html,TP,use after decrement on captured,-,Project archived,1
pyxattr,RL,xattr.c,get_all,632,21,report-19f80b.html,TP,leak on error handling branch,https://github.com/iustin/pyxattr/issues/35,fixed,1
pyxattr,RL,xattr.c,PyInit_xattr,1185,9,report-1eed62.html,TP,leak on error handling branch,https://github.com/iustin/pyxattr/issues/35,fixed,1
rrdtool,RL,rrdtoolmodule.c,_rrdtool_xport,724,8,report-1c2c68.html,TP,created passed to non-stealing,-,No operations within one year,1
rrdtool,RL,rrdtoolmodule.c,_rrdtool_xport,725,10,report-f468c9.html,TP,created passed to non-stealing,-,No operations within one year,1
rrdtool,RL,rrdtoolmodule.c,_rrdtool_xport,726,12,report-bc304d.html,TP,created passed to non-stealing,-,No operations within one year,1
rrdtool,RL,rrdtoolmodule.c,_rrdtool_xport,728,8,report-009c82.html,TP,created passed to non-stealing,-,No operations within one year,1
rrdtool,RL,rrdtoolmodule.c,_rrdtool_xport,729,8,report-7215fe.html,TP,created passed to non-stealing,-,No operations within one year,1
rrdtool,RL,rrdtoolmodule.c,_rrdtool_xport,734,8,report-30a5c0.html,TP,created passed to non-stealing,-,No operations within one year,1
rrdtool,RL,rrdtoolmodule.c,_rrdtool_xport,735,8,report-db5331.html,TP,created passed to non-stealing,-,No operations within one year,1
rrdtool,RL,rrdtoolmodule.c,_rrdtool_xport,737,8,report-cfe0f2.html,TP,created passed to non-stealing,-,No operations within one year,1
rrdtool,RL,rrdtoolmodule.c,_rrdtool_xport,738,8,report-df36bb.html,TP,created passed to non-stealing,-,No operations within one year,1
rrdtool,RL,rrdtoolmodule.c,_rrdtool_xport,740,8,report-82d98c.html,TP,created passed to non-stealing,-,No operations within one year,1
rrdtool,RL,rrdtoolmodule.c,_rrdtool_xport,741,8,report-8bc208.html,TP,created passed to non-stealing,-,No operations within one year,1
rrdtool,RL,rrdtoolmodule.c,_rrdtool_xport,743,8,report-3d4807.html,TP,created passed to non-stealing,-,No operations within one year,1
rrdtool,RL,rrdtoolmodule.c,_rrdtool_xport,744,8,report-9d67d5.html,TP,created passed to non-stealing,-,No operations within one year,1
rrdtool,RL,rrdtoolmodule.c,_rrdtool_xport,746,8,report-aa5d00.html,TP,created passed to non-stealing,-,No operations within one year,1
