project,file,time1,time2,time3,time4,time5,mem1,mem2,mem3,mem4,mem5,time-ave,mem-ave
tensorflow,external/llvm-project/mlir/lib/Translation/Translation.cpp,6.332,5.951,5.244,5.511,5.326,536016,536016,536024,536016,536020,5.673,963370.4
tensorflow,tensorflow/lite/toco/graph_transformations/reorder_reshape_transpose.cc,16.221,19.622,12.506,13.935,12.725,786412,786412,785896,786408,785888,15.002,1322221.6
tensorflow,external/llvm-project/llvm/lib/DebugInfo/MSF/MSFError.cpp,2.834,2.881,2.893,2.889,2.901,464872,464876,464872,464868,464872,2.880,1251075.2
tensorflow,external/llvm-project/llvm/lib/TableGen/TGParser.cpp,86.075,80.068,69.299,81.949,85.399,667344,665748,667328,666860,666720,80.558,1131672
tensorflow,external/mkl_dnn_v1/src/cpu/x64/jit_uni_reorder.cpp,45.253,52.392,50.87,46.827,41.907,547816,547820,547824,547820,547048,47.450,1214465.6
tensorflow,external/com_github_grpc_grpc/src/core/ext/upb-generated/google/rpc/status.upb.c,2.801,2.742,2.812,2.652,1.998,427544,427544,427544,427540,427544,2.601,975208.8
tensorflow,external/com_github_grpc_grpc/src/core/lib/security/credentials/alts/check_gcp_environment.cc,2.948,2.943,2.824,1.797,1.799,428888,428888,428888,428888,428888,2.462,856431.2
tensorflow,external/com_google_protobuf/src/google/protobuf/compiler/java/java_doc_comment.cc,3.018,1.992,1.833,2.956,2.933,458316,458320,458312,458312,458320,2.546,887204
tensorflow,external/com_github_grpc_grpc/src/core/lib/gprpp/thd_windows.cc,0.557,0.551,0.547,0.554,0.552,224512,224512,224512,224512,224512,0.552,682828
tensorflow,external/libjpeg_turbo/jdhuff.c,19.041,15.318,15.318,18.624,18.794,541600,541600,541600,541600,541600,17.419,766112
tensorflow,bazel-out/k8-opt/bin/tensorflow/core/protobuf/debug.pb.cc,25.402,25.99,25.498,26.707,23.21,469312,469316,469320,469308,469312,25.361,1010913.6
tensorflow,tensorflow/core/kernels/linalg/svd_op_float.cc,34.011,34.715,38.223,39.415,30.368,1977380,1977388,1977384,1977388,1977388,35.346,2446699.2
tensorflow,external/com_github_grpc_grpc/src/core/ext/filters/message_size/message_size_filter.cc,11.795,11.545,10.49,11.545,10.251,461712,461704,461712,461712,461708,11.125,2439095.2
tensorflow,external/com_github_grpc_grpc/src/core/ext/transport/chttp2/transport/http2_settings.cc,0.565,0.553,0.529,0.567,0.549,225820,225820,225820,225820,225820,0.553,687529.6
tensorflow,external/llvm-project/mlir/lib/Dialect/MemRef/IR/MemRefDialect.cpp,11.979,15.631,9.971,14.371,14.624,858448,858448,858452,858444,858440,13.315,1084266.4
tensorflow,tensorflow/core/kernels/data/experimental/compute_batch_size_op.cc,27.737,26.02,30.011,28.842,31.116,1529320,1529328,1529320,1529324,1529316,28.745,2387768
tensorflow,tensorflow/compiler/xla/side_effect_util.cc,0.539,0.533,0.548,0.547,0.533,224120,224120,224120,224120,224120,0.540,1753441.6
tensorflow,tensorflow/compiler/jit/cluster_scoping_pass.cc,23.661,23.712,26.674,25.694,18.787,1156128,1156132,1156124,1156124,1156124,23.706,1380246.4
tensorflow,tensorflow/compiler/jit/encapsulate_util.cc,29.025,35.442,32.845,38.603,35.071,1401712,1403244,1402096,1402232,1401980,34.197,2558379.2
tensorflow,external/llvm-project/llvm/lib/CodeGen/AsmPrinter/WinCFGuard.cpp,7.465,7.205,10.787,10.397,9.572,595952,595944,595944,595952,595956,9.085,1998202.4
tensorflow,external/com_google_protobuf/src/google/protobuf/compiler/java/java_enum_field.cc,4.283,2.674,4.14,4.566,2.61,479012,479012,479012,479008,479004,3.655,1074959.2
tensorflow,tensorflow/core/kernels/matmul_op_complex.cc,38.095,39.595,41.793,39.208,33.843,2034120,2034124,2034116,2034124,2034116,38.507,2513129.6
tensorflow,external/com_github_grpc_grpc/src/core/ext/filters/client_channel/lb_policy/round_robin/round_robin.cc,17.349,18.757,16.874,19.286,18.637,604224,604224,604476,603968,604220,18.181,2638342.4
tensorflow,external/nasm/stdlib/snprintf.c,0.833,0.812,0.823,0.811,0.829,292080,292080,292080,292080,292080,0.822,896302.4
tensorflow,external/llvm-project/mlir/lib/Dialect/Vector/VectorUtils.cpp,10.692,9.16,11.13,8.221,7.792,628980,628992,628988,628988,628992,9.399,921068
tensorflow,external/llvm-project/llvm/lib/Target/ARM/ARMSelectionDAGInfo.cpp,20.73,22.943,19.878,17.883,20.485,740504,739480,739468,739728,739476,20.384,1368719.2
tensorflow,external/curl/lib/psl.c,1.167,1.134,1.173,1.161,1.177,294344,294344,294396,294344,294344,1.162,1034085.6
tensorflow,tensorflow/lite/kernels/embedding_lookup.cc,2.169,2.315,2.321,2.305,2.298,553940,553940,553940,553940,553940,2.282,848294.4
tensorflow,external/com_github_grpc_grpc/src/core/lib/security/transport/client_auth_filter.cc,14.855,14.379,12.626,14.488,15.396,473160,473168,473168,473164,473172,14.349,1027106.4
tensorflow,tensorflow/compiler/mlir/hlo/lib/Dialect/mhlo/transforms/ral_legalize_to_llvm.cc,17.826,21.492,22.574,13.815,17.205,933904,933900,933900,934928,933900,18.582,1407272.8
tensorflow,external/cpuinfo/src/init.c,0.865,0.819,0.82,0.534,0.824,293284,293284,293284,293284,293284,0.772,1227390.4
tensorflow,external/llvm-project/mlir/lib/Dialect/Linalg/Transforms/Hoisting.cpp,24.565,18.271,20.006,23.484,17.56,923876,923592,923892,923712,923952,20.777,1217088.8
tensorflow,tensorflow/compiler/mlir/tensorflow/transforms/tpu_resource_read_for_write.cc,35.861,41.531,42.263,44.45,39.216,2008684,2008132,2008636,2008156,2008656,40.664,2932257.6
tensorflow,tensorflow/compiler/xla/service/hlo_domain_map.cc,27.356,29.723,23.079,27.498,29.953,1229640,1229108,1229116,1229640,1229632,27.522,3237880
tensorflow,external/com_github_grpc_grpc/src/core/lib/http/parser.cc,7.842,9.138,9.229,8.595,9.375,447644,447648,447644,447652,447644,8.836,1677073.6
tensorflow,tensorflow/lite/c/common.c,4.031,4.181,3.817,4.203,3.729,319896,319640,320152,319640,319896,3.992,767491.2
tensorflow,external/llvm-project/llvm/lib/Support/ToolOutputFile.cpp,7.861,6.56,8.147,5.373,5.125,470172,470176,470232,470176,470244,6.613,790044.8
tensorflow,external/boringssl/src/crypto/asn1/a_d2i_fp.c,3.121,3.105,2.841,2.804,2.867,428076,428076,428076,428080,428076,2.948,898276.8
tensorflow,tensorflow/core/framework/node_def_util.cc,140.658,147.725,119.566,137.987,110.717,1296868,1296772,1296852,1296864,1297888,131.331,1725125.6
tensorflow,tensorflow/compiler/mlir/tensorflow/ops/mlir_passthrough_op.cc,40.485,37.562,34.546,40.707,33.392,976560,976564,976572,976564,976564,37.338,2273613.6
tensorflow,tensorflow/compiler/mlir/hlo/lib/Dialect/mhlo/transforms/hlo_legalize_to_lhlo.cc,31.11,31.942,24.938,32.642,26.822,1099836,1099844,1099840,1099836,1099836,29.491,2076403.2
tensorflow,external/llvm-project/llvm/lib/Transforms/IPO/SampleContextTracker.cpp,27.228,27.546,23.236,19.866,27.326,763368,763368,763884,763624,763888,25.040,1863464.8
tensorflow,tensorflow/compiler/mlir/lite/python/tf_tfl_flatbuffer_helpers.cc,35.322,29.574,27.957,27.972,33.508,1372016,1371768,1372024,1372020,1371764,30.867,2135544.8
tensorflow,external/nasm/nasmlib/ver.c,0.533,0.544,0.537,0.541,0.55,224124,224124,224124,224124,224124,0.541,1596042.4
tensorflow,external/mkl_dnn_v1/src/common/rw_mutex.cpp,1.527,1.589,1.536,0.958,1.535,315368,315368,315364,315364,315364,1.429,539489.6
tensorflow,external/com_github_grpc_grpc/src/core/ext/filters/client_channel/lb_policy/grpclb/client_load_reporting_filter.cc,4.288,5.066,4.619,4.652,4.841,456108,456104,456104,456104,456104,4.693,771470.4
tensorflow,external/libjpeg_turbo/jdtrans.c,2.989,1.834,2.331,2.985,2.987,427236,427236,427240,427236,427240,2.625,883342.4
tensorflow,tensorflow/compiler/xla/client/lib/tridiagonal.cc,28.177,25.551,28.957,28.476,24.754,986912,986408,986896,986376,986384,27.183,1413832.8
tensorflow,external/llvm-project/llvm/lib/Support/TimeProfiler.cpp,30.834,37.979,44.128,37.279,41.669,580316,579800,580056,579472,579548,38.378,1566433.6
tensorflow,external/llvm-project/llvm/lib/MC/MCSection.cpp,7.454,7.978,8.316,8.063,7.879,507396,507396,507396,507388,507400,7.938,1087233.6
tensorflow,external/llvm-project/llvm/lib/Target/X86/X86SpeculativeExecutionSideEffectSuppression.cpp,10.736,10.867,10.56,9.618,12.226,734168,734428,734180,734436,734428,10.801,1241723.2
tensorflow,external/icu/icu4c/source/stubdata/stubdata.cpp,1.046,1.058,1.091,1.087,1.109,302792,302800,302796,302800,302792,1.078,1037124
tensorflow,tensorflow/lite/python/analyzer_wrapper/model_analyzer.cc,19.338,21.111,20.669,13.901,20.461,674692,674684,674692,675080,674568,19.096,977539.2
tensorflow,external/llvm-project/llvm/lib/Target/X86/MCTargetDesc/X86ShuffleDecode.cpp,3.423,2.145,3.4,2.309,3.659,451644,451652,451648,451644,451648,2.987,1126390.4
tensorflow,tensorflow/core/kernels/linalg/matrix_solve_ls_op_complex128.cc,29.622,24.539,30.864,28.327,31.621,1493976,1493968,1493976,1493972,1493972,28.995,1945620
tensorflow,external/boringssl/src/crypto/asn1/tasn_dec.c,9.991,9.401,10.423,10.261,10.271,560812,560812,560812,561324,560812,10.069,2054887.2
tensorflow,tensorflow/core/ops/script_ops.cc,35.383,29.166,34.585,40.304,37.596,976684,976684,976672,976684,976672,35.407,1537593.6
tensorflow,external/llvm-project/llvm/lib/Transforms/Scalar/LowerExpectIntrinsic.cpp,14.207,8.83,13.998,9.934,11.191,672764,672764,672760,673024,673528,11.632,1649647.2
tensorflow,external/mkl_dnn_v1/src/cpu/x64/gemm/s8x8s32/jit_avx2_vnni_u8_copy_sum_an_kern_autogen.cpp,12.037,17.472,15.138,17.998,18.122,448648,448652,448648,448648,448652,16.153,1121617.6
tensorflow,external/llvm-project/llvm/lib/Analysis/BranchProbabilityInfo.cpp,21.336,22.522,17.619,23.838,15.248,772872,772872,772876,772868,772876,20.113,1221522.4
tensorflow,external/llvm-project/llvm/lib/Transforms/Utils/AMDGPUEmitPrintf.cpp,13.088,9.514,9.393,12.181,13.465,748608,748600,748340,748352,748344,11.528,1521321.6
tensorflow,tensorflow/compiler/xla/service/gpu/target_util.cc,31.121,29.933,33.406,30.067,33.481,1470048,1469540,1470052,1470048,1470048,31.602,2218396
tensorflow,tensorflow/core/kernels/fractional_avg_pool_op.cc,38.015,29.759,37.606,28.149,33.095,1377752,1377752,1377756,1377748,1377756,33.325,2847700
tensorflow,external/com_google_protobuf/python/google/protobuf/pyext/field.cc,2.839,2.787,2.726,2.12,2.819,572140,572132,572136,572128,572136,2.658,1949887.2
tensorflow,tensorflow/core/distributed_runtime/graph_mgr.cc,37.14,40.302,38.031,39.31,40.916,1492484,1492492,1492484,1492488,1492480,39.140,2064620
tensorflow,tensorflow/compiler/mlir/tensorflow/transforms/init_text_file_to_import.cc,31.355,36.546,32.56,35.769,34.86,1971056,1971176,1971188,1971180,1971056,34.218,3463616.8
tensorflow,tensorflow/core/framework/cancellation.cc,8.113,5.125,5.005,6.791,7.669,561112,561260,561248,561400,561164,6.541,2532368
tensorflow,external/mkl_dnn_v1/src/cpu/matmul/ref_matmul.cpp,66.581,49.134,54.663,48.352,53.458,534304,534048,534044,534564,533800,54.438,1095388.8
tensorflow,external/com_github_grpc_grpc/src/cpp/server/secure_server_credentials.cc,14.535,13.104,12.718,11.518,13.387,593168,593172,593168,593172,593168,13.052,1127321.6
tensorflow,tensorflow/core/lib/core/arena.cc,7.43,5.302,7.318,7.381,6.56,484024,484016,484016,484016,484020,6.798,1077188
tensorflow,tensorflow/compiler/mlir/tensorflow/transforms/lift_variables.cc,39.185,39.211,40.565,32.693,34.686,2029268,2029260,2029264,2029272,2029272,37.268,2513285.6
tensorflow,external/llvm-project/llvm/lib/Transforms/InstCombine/InstCombineShifts.cpp,23.515,18.868,22.903,15.126,17.888,736700,737212,736696,737460,736952,19.660,2766271.2
tensorflow,external/icu/icu4c/source/common/locresdata.cpp,2.414,2.584,2.329,1.532,2.428,446340,446340,446344,446348,446348,2.257,1183348
tensorflow,external/nasm/asm/eval.c,5.982,7.647,7.529,8.033,7.46,475180,475180,475180,475180,475180,7.330,921524
tensorflow,tensorflow/compiler/xla/service/llvm_ir/buffer_assignment_util.cc,24.633,25.934,27.045,33.447,29.914,1355364,1355372,1355368,1355368,1355372,28.195,1830548.8
tensorflow,tensorflow/compiler/xla/service/execution_tracker.cc,32.694,34.702,26.305,32.197,31.232,1477236,1477232,1477096,1476844,1477108,31.426,2832472
tensorflow,external/llvm-project/llvm/lib/CodeGen/SelectionDAG/FastISel.cpp,47.104,46.689,43.146,54.887,50.026,855168,854668,855180,854668,854664,48.370,2331972.8
tensorflow,external/boringssl/src/crypto/evp/p_ec_asn1.c,2.911,2.873,2.906,2.841,2.871,429520,429520,429520,429520,429520,2.880,1284389.6
tensorflow,external/llvm-project/llvm/lib/Target/X86/X86InstrFMA3Info.cpp,6.862,7.612,6.638,4.188,5.633,566376,566380,566376,566380,566384,6.187,995899.2
tensorflow,external/llvm-project/llvm/lib/Transforms/Instrumentation/GCOVProfiling.cpp,26.369,25.447,18.231,23.926,17.928,858160,858184,858192,858184,858208,22.380,1424564.8
tensorflow,external/llvm-project/llvm/lib/MC/MCParser/COFFMasmParser.cpp,3.048,4.845,4.614,4.762,4.695,522500,522512,522500,522504,522508,4.393,1380690.4
tensorflow,tensorflow/compiler/mlir/lite/transforms/legalize_tf.cc,63.817,91.417,93.724,77.698,88.92,2861716,2861716,2861704,2861712,2861716,83.115,3384217.6
tensorflow,external/llvm-project/llvm/lib/Target/PowerPC/PPCExpandISEL.cpp,11.627,12.635,11.711,10.04,11.276,642344,642084,642600,642348,642344,11.458,3504056.8
tensorflow,tensorflow/core/kernels/concat_lib_cpu.cc,46.509,51.658,66.712,72.243,61.869,1091176,1091684,1090672,1086864,1091456,59.798,1732714.4
tensorflow,external/mkl_dnn_v1/src/cpu/x64/gemm/f32/jit_avx_f32_copy_an_kern_autogen.cpp,18.292,15.549,18.265,12.709,12.569,426984,426472,426988,426996,426480,15.477,1517154.4
tensorflow,external/nasm/asm/float.c,3.688,4.805,3.353,4.627,4.59,428244,428244,428244,428244,428244,4.213,855028
tensorflow,tensorflow/compiler/tf2xla/kernels/no_op.cc,19.632,16.878,19.496,25.075,24.83,1093468,1093476,1093472,1093480,1093480,21.182,1521719.2
tensorflow,external/llvm-project/llvm/lib/CodeGen/SelectionDAG/DAGCombiner.cpp,153.413,182.823,203.283,202.395,171.341,915372,915340,915340,915340,915328,182.651,2008819.2
tensorflow,tensorflow/lite/kernels/read_variable.cc,2.65,2.511,2.694,2.633,2.536,572076,572084,572076,572076,572080,2.605,1487422.4
tensorflow,tensorflow/compiler/mlir/lite/quantization/quantization_config.cc,4.707,5.234,5.496,5.41,5.585,480276,480276,480276,480272,480272,5.286,1052352.8
tensorflow,external/llvm-project/llvm/lib/DebugInfo/CodeView/CodeViewRecordIO.cpp,8.41,7.184,7.103,6.962,7.718,595312,595048,595312,595312,594796,7.475,1075430.4
tensorflow,external/llvm-project/llvm/lib/MC/MCAsmInfoWasm.cpp,2.41,2.403,2.411,2.399,2.404,451008,451016,451008,451008,451016,2.405,1046167.2
tensorflow,external/llvm-project/mlir/lib/TableGen/Pass.cpp,3.295,3.482,2.658,3.687,3.389,477512,477508,477516,477508,477512,3.302,928522.4
tensorflow,tensorflow/compiler/xla/service/hlo_creation_utils.cc,40.928,49.584,40.799,43.582,49.774,1237664,1237656,1237660,1237652,1237660,44.933,1715169.6
tensorflow,external/llvm-project/llvm/lib/Support/SourceMgr.cpp,43.883,32.985,42.32,33.93,32.307,551120,551028,551032,551032,551040,37.085,1788708.8
tensorflow,external/llvm-project/mlir/lib/Conversion/VectorToGPU/VectorToGPU.cpp,20.785,21.125,20.071,20.512,17.123,862544,862336,861948,862472,862980,19.923,1413506.4
tensorflow,tensorflow/core/kernels/cwise_op_zeta.cc,28.249,28.674,20.597,29.799,23.063,1282096,1282092,1282104,1282100,1282092,26.076,2144552.8
tensorflow,external/com_google_protobuf/src/google/protobuf/descriptor.pb.cc,275.604,217.578,277.285,288.899,281.332,602744,602456,601948,603772,601972,268.140,1884675.2
tensorflow,tensorflow/compiler/xla/service/xla_debug_info_manager.cc,30.438,28.13,29.738,28.943,30.292,1277020,1277088,1277080,1277012,1277080,29.508,1879634.4
tensorflow,external/com_github_grpc_grpc/src/cpp/common/completion_queue_cc.cc,4.006,4.034,4.084,2.454,3.951,448168,448164,448168,448168,448168,3.706,1725223.2
tensorflow,external/llvm-project/llvm/lib/Object/TapiFile.cpp,6.128,6.358,5.64,6.365,6.301,480356,480356,480360,480356,480360,6.158,928524.8
tensorflow,external/llvm-project/llvm/lib/Target/AArch64/AArch64TargetObjectFile.cpp,8.593,9.499,9.381,9.54,7.435,671456,671460,671456,671456,671456,8.890,1151814.4
tensorflow,tensorflow/lite/python/metrics_wrapper/metrics_wrapper_pybind11.cc,4.963,3.984,5.371,5.199,3.538,588852,588844,588840,588848,588852,4.611,1260304
tensorflow,external/com_github_grpc_grpc/src/core/ext/upb-generated/envoy/api/v2/auth/cert.upb.c,3.02,3.037,3.054,3.029,3.043,430016,430016,430016,430016,430016,3.037,1018863.2
tensorflow,external/com_github_grpc_grpc/src/core/ext/transport/chttp2/transport/frame_window_update.cc,3.635,3.276,4.412,4.753,4.627,457640,457632,457644,457636,457640,4.141,887654.4
tensorflow,tensorflow/compiler/xla/service/name_uniquer.cc,17.187,23.932,19.818,20.489,22.817,666924,666932,666924,666932,666928,20.849,1124566.4
tensorflow,external/com_github_grpc_grpc/src/core/lib/iomgr/tcp_client_cfstream.cc,0.55,0.565,0.56,0.544,0.545,224628,224628,224628,224628,224628,0.553,891556
tensorflow,external/llvm-project/llvm/lib/Target/X86/MCTargetDesc/X86MCTargetDesc.cpp,14.48,15.223,15.379,10.213,14.948,669588,669592,669588,669588,669596,14.049,894218.4
tensorflow,external/llvm-project/llvm/lib/Transforms/Utils/Evaluator.cpp,10.861,11.046,11.329,11.316,11.318,735496,735492,735492,735492,736008,11.174,1405186.4
tensorflow,external/llvm-project/llvm/lib/ProfileData/SampleProfReader.cpp,31.256,38.442,40.543,41.911,42.746,697100,697100,697104,696584,697868,38.980,1432747.2
tensorflow,external/llvm-project/llvm/lib/IR/TypeFinder.cpp,7.716,9.1,6.492,9.722,9.314,540588,540592,540576,540328,540328,8.469,1237633.6
tensorflow,tensorflow/tools/graph_transforms/remove_attribute.cc,19.643,16.113,19.689,23.795,23.196,1102400,1102412,1102412,1102408,1102408,20.487,1642890.4
tensorflow,tensorflow/core/platform/protobuf.cc,9.442,8.863,9.421,7.946,9.548,520412,520408,520412,520408,520408,9.044,1622817.6
tensorflow,external/llvm-project/llvm/lib/Transforms/Instrumentation/HWAddressSanitizer.cpp,32.463,32.785,34.263,33.062,39.349,819120,819132,819124,819136,818772,34.384,1339466.4
tensorflow,external/llvm-project/llvm/lib/Transforms/Utils/UnifyLoopExits.cpp,11.716,11.418,11.841,11.895,8.841,644020,644020,644012,644020,644020,11.142,1463075.2
tensorflow,external/mkl_dnn_v1/src/cpu/rnn/ref_postgemm_gru.cpp,28.38,28.1,32.266,39.119,24.703,535344,535080,534576,535080,535088,30.514,1179052
tensorflow,external/llvm-project/llvm/lib/IR/PassTimingInfo.cpp,5.155,6.481,6.95,7.393,7.32,484688,484688,484692,484692,484692,6.660,1019724
tensorflow,external/llvm-project/llvm/lib/Transforms/IPO/BlockExtractor.cpp,9.659,9.781,9.564,7.445,9.257,544408,544148,544412,544404,544156,9.141,1028996
tensorflow,external/boringssl/src/crypto/fipsmodule/is_fips.c,0.544,0.569,0.571,0.554,0.577,226188,226188,226188,226188,226188,0.563,770493.6
tensorflow,external/llvm-project/llvm/lib/MC/XCOFFObjectWriter.cpp,16.061,11.628,15.697,13.309,15.594,607096,607088,607100,607092,607096,14.458,833282.4
tensorflow,external/llvm-project/llvm/lib/CodeGen/GlobalISel/LegalizerHelper.cpp,38.16,38.176,34.836,34.667,31.962,808800,808804,808800,808796,808808,35.560,1415896
tensorflow,external/com_github_grpc_grpc/src/core/ext/upb-generated/validate/validate.upb.c,3.031,3.03,1.839,3.032,2.807,429924,429924,429924,429924,429920,2.748,1238724.8
tensorflow,external/com_googlesource_code_re2/re2/mimics_pcre.cc,10.747,11.647,11.575,7.792,7.976,520012,520652,519888,520396,519884,9.947,950089.6
tensorflow,tensorflow/core/kernels/data/generator_dataset_op.cc,20.636,28.697,28.459,20.696,28.765,1220092,1220080,1220088,1220084,1220080,25.451,1740251.2
tensorflow,external/llvm-project/llvm/lib/Target/AArch64/AArch64ExpandImm.cpp,7.669,7.361,7.648,7.603,7.728,524980,524980,524980,524980,524988,7.602,1745066.4
tensorflow,tensorflow/python/framework/python_api_parameter_converter_wrapper.cc,17.664,23.311,21.19,20.02,18.869,1109920,1109912,1109916,1109904,1109912,20.211,1634894.4
tensorflow,external/llvm-project/llvm/lib/Remarks/RemarkFormat.cpp,2.121,2.665,3.119,3.093,3.065,466204,466204,466200,466204,466200,2.813,1576115.2
tensorflow,external/llvm-project/llvm/lib/CodeGen/RemoveRedundantDebugValues.cpp,10.713,9.999,9.852,9.435,7.16,709580,709584,709584,709568,709576,9.432,1175780.8
tensorflow,external/llvm-project/mlir/lib/Dialect/Quant/Utils/UniformSupport.cpp,12.158,11.516,9.649,12.305,10.271,510304,510212,510300,510212,510296,11.180,1219843.2
tensorflow,external/com_github_grpc_grpc/src/core/lib/gpr/sync_windows.cc,0.326,0.422,0.551,0.555,0.556,224488,224488,224488,224488,224488,0.482,734752.8
tensorflow,tensorflow/core/common_runtime/step_stats_collector.cc,36.516,33.363,41.669,50.617,33.806,1201988,1202492,1201988,1202500,1201968,39.194,1426675.2
tensorflow,external/boringssl/src/crypto/x509/x509cset.c,2.917,3.017,3.02,2.136,3.073,432448,432448,432448,432448,432444,2.833,1634634.4
tensorflow,external/mkl_dnn_v1/src/cpu/x64/gemm/bf16/jit_avx512_core_s16_24x8_copy_at_kern_autogen.cpp,16.853,11.536,18.895,18.39,19.34,451076,451584,451080,451592,452104,17.003,883934.4
tensorflow,external/llvm-project/llvm/lib/BinaryFormat/MsgPackDocument.cpp,10.557,9.799,12.161,9.56,12.188,474832,474828,474828,474832,474836,10.853,926318.4
tensorflow,external/com_github_grpc_grpc/src/core/lib/gpr/log_windows.cc,0.559,0.562,0.472,0.541,0.334,224512,224512,224512,224512,224512,0.494,699343.2
tensorflow,tensorflow/core/framework/bfloat16.cc,4.248,4.269,4.577,4.521,4.758,507412,507412,507412,507408,507416,4.475,731924
tensorflow,external/llvm-project/llvm/lib/CodeGen/GlobalISel/InlineAsmLowering.cpp,8.203,10.539,10.398,8.325,10.056,732652,731696,732656,731700,731952,9.504,1239543.2
tensorflow,tensorflow/lite/mmap_allocation.cc,1.247,2.064,1.98,2.261,2.025,439856,439860,439856,439856,439860,1.915,1171988.8
tensorflow,external/icu/icu4c/source/common/cwchar.cpp,0.572,0.538,0.475,0.549,0.551,225744,225744,225744,225744,225744,0.537,665601.6
tensorflow,tensorflow/compiler/xla/service/dynamic_padder.cc,32.937,46.621,39.83,46.708,36.135,1714780,1714780,1714776,1714776,1714776,40.446,1940521.6
tensorflow,external/llvm-project/llvm/lib/ProfileData/GCOV.cpp,17.065,19.562,22.541,22.56,20.513,575728,573684,575732,573680,575472,20.448,2289636.8
tensorflow,external/com_github_grpc_grpc/src/core/lib/gpr/alloc.cc,2.811,2.8,2.825,2.887,2.834,428252,428252,428252,428252,428252,2.831,1003111.2
tensorflow,tensorflow/lite/toco/graph_transformations/remove_unused_op.cc,16.132,14.693,13.961,10.434,14.077,772088,772084,772088,772092,772088,13.859,1200340
tensorflow,external/llvm-project/llvm/lib/IR/LLVMContextImpl.cpp,11.395,11.975,8.565,9.448,11.992,593812,593808,593816,593808,593804,10.675,1365897.6
tensorflow,external/ruy/ruy/trmul.cc,5.843,6.337,5.383,6.382,5.549,451688,451676,451676,451684,451676,5.899,1045489.6
tensorflow,external/llvm-project/llvm/lib/Support/ThreadPool.cpp,15.775,19.908,19.231,20.319,15.95,472236,472240,472236,472236,472232,18.237,923916
tensorflow,tensorflow/compiler/mlir/lite/utils/stateful_ops_utils.cc,10.279,9.861,10.189,9.939,10.572,713952,713952,713952,713956,713952,10.168,1186188.8
tensorflow,tensorflow/lite/kernels/matrix_diag.cc,8.67,5.305,9.124,6.907,6.101,755164,755164,755168,755168,755168,7.221,1469119.2
tensorflow,external/mkl_dnn_v1/src/cpu/x64/gemm/bf16/jit_avx512_core_s16_24x8_copy_bn_kern_autogen.cpp,18.825,14.748,15.035,18.287,18.351,445680,445176,445176,445180,445684,17.049,1200545.6
tensorflow,tensorflow/core/common_runtime/eager/execute.cc,49.077,45.618,46.49,40.181,42.823,1622360,1622364,1622364,1622368,1622384,44.838,2067747.2
tensorflow,external/llvm-project/mlir/lib/Transforms/Utils/RegionUtils.cpp,11.942,15.068,11.415,11.225,11.869,691276,691280,691276,691276,691272,12.304,2313644
tensorflow,external/nasm/output/outelf.c,16.705,14.282,16.893,21.261,12.47,546608,546352,546864,546864,546864,16.322,1237986.4
tensorflow,tensorflow/core/profiler/convert/post_process_single_host_xplane.cc,10.299,15.106,13.417,15.217,11.735,857824,857812,857820,857828,857824,13.155,1404532
tensorflow,external/nasm/macros/macros.c,1.732,1.782,1.717,1.719,1.068,428384,428384,428384,428384,428384,1.604,1286205.6
tensorflow,external/icu/icu4c/source/common/servlkf.cpp,2.48,2.446,2.398,2.497,2.463,453640,453644,453644,453644,453644,2.457,882027.2
tensorflow,external/llvm-project/mlir/lib/Dialect/SCF/Transforms/LoopPipelining.cpp,11.936,12.435,9.19,11.949,9.356,797244,797952,797288,797176,797204,10.973,1251016
tensorflow,external/llvm-project/llvm/lib/IR/BasicBlock.cpp,7.156,5.634,7.332,8.289,5.715,646048,646056,646060,646052,646052,6.825,1443426.4
tensorflow,tensorflow/core/lib/io/snappy/snappy_inputstream.cc,6.493,6.517,6.701,6.546,5.902,667680,667668,667660,667664,667684,6.432,1313724.8
tensorflow,tensorflow/compiler/mlir/hlo/lib/Dialect/mhlo/IR/hlo_ops_common.cc,18.168,16.495,19.59,15.725,11.939,634008,634000,634000,634008,634008,16.383,1301676
tensorflow,bazel-out/k8-opt/bin/tensorflow/core/kernels/boosted_trees/boosted_trees.pb.cc,40.735,43.863,46.13,36.039,49.71,523072,523068,523072,523076,523072,43.295,1157076.8
tensorflow,tensorflow/core/kernels/data/experimental/lmdb_dataset_op.cc,22.197,25.944,22.384,28.871,24.764,1318388,1318364,1318376,1318864,1318368,24.832,1841544
tensorflow,external/boringssl/src/crypto/hkdf/hkdf.c,3.016,2.218,2.981,3.031,2.207,428972,428968,428968,428964,428968,2.691,1747440
tensorflow,bazel-out/k8-opt/bin/tensorflow/cc/ops/math_ops.cc,160.25,156.996,131.475,145.192,136.617,1145928,1146120,1145996,1146628,1145808,146.106,1575064
tensorflow,tensorflow/tools/graph_transforms/sparsify_gather.cc,26.682,24.435,30.237,27.168,26.084,1390208,1390216,1390208,1390224,1390208,26.921,2536308.8
tensorflow,external/icu/icu4c/source/common/messagepattern.cpp,17.836,15.21,18.135,16.192,15.43,455112,455108,455624,455112,455112,16.561,1845426.4
tensorflow,tensorflow/core/profiler/internal/tfprof_code.cc,30.638,32.437,29.344,38.141,33.931,1511304,1511308,1511308,1511304,1511304,32.898,1966519.2
