project,bug type,file,function,line,report,type,result
duplicity,RL,duplicity/_librsyncmodule.c,_librsync_new_deltamaker,188,_librsyncmodule.c._librsync_new_deltamaker-refcount-errors.html,common,TP
duplicity,RL,duplicity/_librsyncmodule.c,moduleinit,483,_librsyncmodule.c.moduleinit-refcount-errors.html,common,TP
Pillow,RL,src/_imaging.c,_getxy,1122,_imaging.c._getxy-refcount-errors.html,common,FP
Pillow,RL,src/_imaging.c,_get_stats,3758,_imaging.c._get_stats-refcount-errors.html,common,TP
Pillow,RL,src/_imaging.c,PyInit__imaging,4238,_imaging.c.PyInit__imaging-refcount-errors.html,common,TP
Pillow,RL,src/_imagingft.c,text_layout_raqm,301,_imagingft.c.text_layout_raqm-refcount-errors.html,common,TP
Pillow,RL,src/_imagingft.c,setup_module,1351,_imagingft.c.setup_module-refcount-errors.html,common,TP
Pillow,RL,src/_imagingft.c,setup_module,1366,_imagingft.c.setup_module-refcount-errors.html,common,TP
Pillow,RL,src/_imagingmorph.c,setup_module,243,_imagingmorph.c.setup_module-refcount-errors.html,common,TP
Pillow,RL,src/_imagingtk.c,PyInit__imagingtk,77,_imagingtk.c.PyInit__imagingtk-refcount-errors.html,common,TP
Pillow,RL,src/_webp.c,addTransparencyFlagToModule,948,_webp.c.addTransparencyFlagToModule-refcount-errors.html,common,TP
Pillow,RL,src/_webp.c,setup_module,959,_webp.c.setup_module-refcount-errors.html,common,TP
Pillow,RL,src/_webp.c,PyInit__webp,983,_webp.c.PyInit__webp-refcount-errors.html,common,TP
Pillow,RL,src/_imagingmath.c,PyInit__imagingmath,287,_imagingmath.c.PyInit__imagingmath-refcount-errors.html,unique,FP
Pillow,RL,src/_imagingft.c,PyInit__imagingft,1416,_imagingft.c.PyInit__imagingft-refcount-errors.html,unique,FP
Pillow,RL,src/_imagingft.c,text_layout_fallback,429,_imagingft.c.text_layout_fallback-refcount-errors.html,unique,FP
Pillow,RL,src/_imagingmorph.c,PyInit__imagingmorph,267,_imagingmorph.c.PyInit__imagingmorph-refcount-errors.html,unique,FP
Pillow,RL,src/_webp.c,_anim_encoder_new,165,_webp.c._anim_encoder_new-refcount-errors.html,unique,FP
